loss	train_acc	test_acc
0.279049	0.857143	0.675000
0.279043	0.857143	0.674000
0.279037	0.857143	0.673000
0.279031	0.857143	0.672000
0.279024	0.857143	0.671000
0.279018	0.857143	0.671000
0.279011	0.857143	0.671000
0.279005	0.857143	0.671000
0.278997	0.857143	0.671000
0.278990	0.857143	0.671000
0.278983	0.857143	0.672000
0.278975	0.857143	0.672000
0.278968	0.857143	0.672000
0.278960	0.857143	0.672000
0.278953	0.857143	0.672000
0.278945	0.857143	0.672000
0.278938	0.857143	0.672000
0.278931	0.857143	0.672000
0.278923	0.857143	0.672000
0.278916	0.857143	0.672000
0.278909	0.857143	0.672000
0.278902	0.857143	0.672000
0.278895	0.857143	0.673000
0.278888	0.857143	0.673000
0.278881	0.857143	0.673000
0.278880	0.857143	0.674000
0.278869	0.857143	0.674000
0.278878	0.857143	0.674000
0.278859	0.857143	0.675000
0.278855	0.857143	0.675000
0.278850	0.857143	0.677000
0.278845	0.857143	0.677000
0.278840	0.857143	0.677000
0.278835	0.857143	0.677000
0.278830	0.857143	0.677000
0.278824	0.857143	0.678000
0.278819	0.857143	0.678000
0.278814	0.857143	0.678000
0.278808	0.857143	0.678000
0.278803	0.857143	0.678000
0.278798	0.857143	0.678000
0.278792	0.857143	0.679000
0.278787	0.857143	0.679000
0.278782	0.857143	0.679000
0.278776	0.857143	0.679000
0.278771	0.857143	0.679000
0.278765	0.857143	0.679000
0.278760	0.857143	0.679000
0.278755	0.857143	0.679000
0.278749	0.857143	0.679000
0.278744	0.857143	0.679000
0.278739	0.857143	0.679000
0.278734	0.857143	0.678000
0.278729	0.857143	0.678000
0.278724	0.857143	0.678000
0.278719	0.857143	0.678000
0.278714	0.857143	0.678000
0.278709	0.857143	0.678000
0.278704	0.857143	0.678000
0.278700	0.857143	0.678000
0.278695	0.857143	0.678000
0.278690	0.857143	0.678000
0.278686	0.857143	0.678000
0.278681	0.857143	0.678000
0.278677	0.857143	0.678000
0.278672	0.857143	0.678000
0.278670	0.857143	0.678000
0.278664	0.857143	0.677000
0.278660	0.857143	0.677000
0.278656	0.857143	0.677000
0.278652	0.857143	0.676000
0.278648	0.857143	0.676000
0.278645	0.857143	0.676000
0.278641	0.857143	0.676000
0.278637	0.857143	0.676000
0.278633	0.857143	0.676000
0.278633	0.857143	0.676000
0.278626	0.857143	0.676000
0.278623	0.857143	0.676000
0.278620	0.857143	0.676000
0.278617	0.857143	0.676000
0.278613	0.857143	0.676000
0.278610	0.857143	0.676000
0.278607	0.857143	0.676000
0.278606	0.857143	0.676000
0.278600	0.857143	0.677000
0.278597	0.857143	0.677000
0.278593	0.857143	0.677000
0.278590	0.857143	0.678000
0.278587	0.857143	0.679000
0.278585	0.857143	0.679000
0.278581	0.857143	0.679000
0.278578	0.857143	0.679000
0.278575	0.857143	0.679000
0.278572	0.857143	0.679000
0.278569	0.857143	0.679000
0.278566	0.857143	0.677000
0.278563	0.857143	0.677000
0.278560	0.857143	0.677000
0.278557	0.857143	0.677000
0.278554	0.857143	0.677000
0.278551	0.857143	0.678000
0.278547	0.857143	0.678000
0.278544	0.857143	0.678000
0.278541	0.857143	0.678000
0.278538	0.857143	0.678000
0.278535	0.857143	0.678000
