loss	train_acc	test_acc
0.002003	1.000000	0.737000
0.003306	1.000000	0.747000
0.008328	1.000000	0.752000
0.001828	1.000000	0.754000
0.002980	1.000000	0.756000
0.002810	1.000000	0.760000
0.001898	1.000000	0.761000
0.007857	1.000000	0.758000
0.009149	1.000000	0.758000
0.002691	1.000000	0.759000
0.000624	1.000000	0.754000
0.001508	1.000000	0.750000
0.004863	1.000000	0.751000
0.010401	1.000000	0.751000
0.001781	1.000000	0.750000
0.000845	1.000000	0.751000
0.030225	1.000000	0.754000
0.007806	1.000000	0.753000
0.001417	1.000000	0.754000
0.020566	1.000000	0.760000
0.000556	1.000000	0.755000
0.001082	1.000000	0.758000
0.002386	1.000000	0.758000
0.001428	1.000000	0.756000
0.000868	1.000000	0.756000
0.000643	1.000000	0.752000
0.001416	1.000000	0.757000
0.001716	1.000000	0.757000
0.007859	1.000000	0.756000
0.005862	1.000000	0.759000
0.006226	1.000000	0.759000
0.004348	1.000000	0.758000
0.002799	1.000000	0.759000
0.026951	1.000000	0.756000
0.001696	1.000000	0.751000
0.005631	1.000000	0.752000
0.003617	1.000000	0.754000
0.004222	1.000000	0.751000
0.009661	1.000000	0.751000
0.001921	1.000000	0.747000
0.001928	1.000000	0.744000
0.001455	1.000000	0.744000
0.000914	1.000000	0.742000
0.001686	1.000000	0.741000
0.002301	1.000000	0.741000
0.000987	1.000000	0.740000
0.002781	1.000000	0.739000
0.000760	1.000000	0.741000
0.001963	1.000000	0.736000
0.000711	1.000000	0.733000
0.000635	1.000000	0.734000
0.001292	1.000000	0.734000
0.000355	1.000000	0.733000
0.001982	1.000000	0.733000
0.001028	1.000000	0.733000
0.001948	1.000000	0.732000
0.001669	1.000000	0.732000
0.000739	1.000000	0.732000
0.000511	1.000000	0.732000
0.000982	1.000000	0.731000
0.000964	1.000000	0.731000
0.004831	1.000000	0.732000
0.001650	1.000000	0.732000
0.001188	1.000000	0.732000
0.000978	1.000000	0.732000
0.000645	1.000000	0.732000
0.001502	1.000000	0.732000
0.002069	1.000000	0.731000
0.001214	1.000000	0.730000
0.000923	1.000000	0.730000
0.003107	1.000000	0.732000
0.000378	1.000000	0.734000
0.001400	1.000000	0.735000
0.000668	1.000000	0.736000
0.001589	1.000000	0.736000
0.001006	1.000000	0.738000
0.001603	1.000000	0.739000
0.002194	1.000000	0.739000
0.005572	1.000000	0.740000
0.010968	1.000000	0.741000
0.001152	1.000000	0.744000
0.000859	1.000000	0.743000
0.000618	1.000000	0.742000
0.002223	1.000000	0.742000
0.000940	1.000000	0.743000
0.001884	1.000000	0.746000
0.000492	1.000000	0.749000
0.001209	1.000000	0.749000
0.004258	1.000000	0.751000
0.001612	1.000000	0.752000
0.011134	1.000000	0.752000
0.000421	1.000000	0.753000
0.000266	1.000000	0.752000
0.000819	1.000000	0.752000
0.001278	1.000000	0.753000
0.001339	1.000000	0.753000
0.000847	1.000000	0.752000
0.000692	1.000000	0.752000
0.000419	1.000000	0.752000
0.001004	1.000000	0.752000
0.001049	1.000000	0.753000
0.002618	1.000000	0.754000
0.000706	1.000000	0.754000
0.000572	1.000000	0.755000
0.000661	1.000000	0.755000
0.004003	1.000000	0.755000
0.000866	1.000000	0.756000
0.001015	1.000000	0.756000
0.003473	1.000000	0.755000
0.002341	1.000000	0.755000
0.000360	1.000000	0.755000
0.001788	1.000000	0.755000
0.001985	1.000000	0.754000
0.001425	1.000000	0.755000
0.008506	1.000000	0.754000
0.001690	1.000000	0.754000
0.002769	1.000000	0.753000
0.000647	1.000000	0.751000
0.000566	1.000000	0.750000
0.002762	1.000000	0.750000
0.001772	1.000000	0.750000
0.001221	1.000000	0.749000
0.000932	1.000000	0.749000
0.000827	1.000000	0.750000
0.000633	1.000000	0.749000
0.000616	1.000000	0.749000
0.000180	1.000000	0.748000
0.000386	1.000000	0.747000
0.001548	1.000000	0.748000
0.000772	1.000000	0.748000
0.003835	1.000000	0.748000
0.003050	1.000000	0.748000
0.006360	1.000000	0.747000
0.000478	1.000000	0.747000
0.000409	1.000000	0.747000
0.000679	1.000000	0.747000
0.001505	1.000000	0.746000
0.008022	1.000000	0.746000
0.000633	1.000000	0.747000
0.000420	1.000000	0.747000
0.000694	1.000000	0.747000
0.000307	1.000000	0.746000
0.000400	1.000000	0.746000
0.000299	1.000000	0.746000
0.001969	1.000000	0.746000
0.000668	1.000000	0.746000
0.000349	1.000000	0.745000
0.000374	1.000000	0.745000
0.001422	1.000000	0.744000
0.001408	1.000000	0.744000
0.000373	1.000000	0.744000
0.004748	1.000000	0.744000
0.000696	1.000000	0.745000
0.001424	1.000000	0.745000
0.001941	1.000000	0.744000
0.000578	1.000000	0.745000
0.001419	1.000000	0.747000
0.000640	1.000000	0.747000
0.000455	1.000000	0.747000
0.000559	1.000000	0.747000
0.000517	1.000000	0.747000
0.000527	1.000000	0.745000
0.000224	1.000000	0.745000
0.000680	1.000000	0.745000
0.001448	1.000000	0.745000
0.001324	1.000000	0.745000
0.000492	1.000000	0.744000
0.000742	1.000000	0.744000
0.001943	1.000000	0.745000
0.000288	1.000000	0.743000
0.000514	1.000000	0.743000
0.000461	1.000000	0.743000
0.000602	1.000000	0.743000
0.000406	1.000000	0.743000
0.001432	1.000000	0.742000
0.000620	1.000000	0.742000
0.000268	1.000000	0.742000
0.000950	1.000000	0.743000
0.001960	1.000000	0.741000
0.003555	1.000000	0.742000
0.000733	1.000000	0.744000
0.000284	1.000000	0.744000
0.000690	1.000000	0.744000
0.001605	1.000000	0.744000
0.000721	1.000000	0.744000
0.001576	1.000000	0.744000
0.002064	1.000000	0.745000
0.000620	1.000000	0.745000
0.000538	1.000000	0.746000
0.000443	1.000000	0.746000
0.000298	1.000000	0.746000
0.000269	1.000000	0.746000
0.000488	1.000000	0.746000
0.001114	1.000000	0.747000
0.000578	1.000000	0.747000
0.000500	1.000000	0.747000
0.000384	1.000000	0.748000
0.001596	1.000000	0.749000
0.000440	1.000000	0.749000
0.000605	1.000000	0.749000
0.000195	1.000000	0.749000
0.000369	1.000000	0.749000
0.000451	1.000000	0.749000
0.000401	1.000000	0.749000
0.000304	1.000000	0.750000
0.000797	1.000000	0.750000
0.001094	1.000000	0.749000
0.000930	1.000000	0.748000
0.000782	1.000000	0.748000
0.000956	1.000000	0.748000
0.000360	1.000000	0.748000
0.000546	1.000000	0.748000
0.000761	1.000000	0.748000
